run,trial,step,rtt_ms,throughput_mbps,reward
ppo_hybrid_tree,4,15,66.445,9.57,8.317025911706285
ppo_hybrid_tree,4,16,71.019,9.56,8.300359898242322
ppo_hybrid_tree,4,17,75.099,9.56,8.293546511856551
ppo_hybrid_tree,4,18,79.284,9.42,8.14172321726975
ppo_hybrid_tree,4,19,83.496,9.57,8.2762071467236
ppo_hybrid_tree,4,20,44.755,9.56,8.627131311629068
ppo_hybrid_tree,4,21,51.183,9.54,8.566915362734635
ppo_hybrid_tree,4,22,56.959,9.53,8.52109068116927
ppo_hybrid_tree,4,23,62.901,9.38,8.33157100013508
ppo_hybrid_tree,4,24,66.865,9.55,8.48014660126467
ppo_hybrid_tree,4,25,72.66,9.56,8.448858948656056
ppo_hybrid_tree,4,26,76.842,9.56,8.422235977264432
ppo_hybrid_tree,4,27,80.9,9.42,8.255791820203969
ppo_hybrid_tree,4,28,84.954,9.57,8.378433163966212
ppo_hybrid_tree,4,29,89.321,9.52,8.296947966102442
ppo_hybrid_tree,4,30,92.161,9.56,8.319868330836277
ppo_hybrid_tree,4,31,96.607,9.56,8.285930089033384
ppo_hybrid_tree,4,32,99.234,9.57,8.27957487810048
ppo_hybrid_tree,4,33,102.139,9.56,8.249780901850272
ppo_hybrid_tree,4,34,106.61,9.56,8.213788368695255
ppo_hybrid_tree,4,35,121.604,9.56,8.072221326413361
ppo_hybrid_tree,4,36,142.421,9.56,7.872042510077803
ppo_hybrid_tree,4,37,167.033,9.57,7.643554907813543
ppo_hybrid_tree,4,38,195.639,9.56,7.354699329620722
ppo_hybrid_tree,4,39,228.206,9.56,7.035956212070879
cubic_baseline,0,0,119.1,9.46,8.269000053405762
cubic_baseline,0,1,63.573,9.59,8.425868548767411
cubic_baseline,0,2,68.763,9.57,8.544531852103567
cubic_baseline,0,3,71.225,9.4,8.439302428820119
cubic_baseline,0,4,76.289,9.59,8.630742931262969
cubic_baseline,0,5,78.796,9.23,8.279635993161437
cubic_baseline,0,6,84.34,9.57,8.588095576320658
cubic_baseline,0,7,87.537,9.55,8.553930104750068
cubic_baseline,0,8,91.689,9.57,8.546129188853874
cubic_baseline,0,9,94.603,9.56,8.51797813074063
cubic_baseline,0,10,97.155,9.56,8.501342417886448
cubic_baseline,0,11,101.625,9.56,8.464037386535791
cubic_baseline,0,12,104.22,9.56,8.444284509596766
cubic_baseline,0,13,106.746,9.56,8.424385686449632
cubic_baseline,0,14,111.438,9.55,8.37206756556644
cubic_baseline,0,15,113.793,9.57,8.372545892624627
cubic_baseline,0,16,124.79,9.53,8.226210384707352
cubic_baseline,0,17,142.235,9.57,8.094969588628512
cubic_baseline,0,18,162.025,9.57,7.899967552996897
cubic_baseline,0,19,186.063,9.56,7.652183879556642
cubic_baseline,0,20,213.329,9.56,7.3819126224037195
cubic_baseline,0,21,245.059,9.57,7.076761167465033
cubic_baseline,0,22,279.352,9.56,6.72580944945622
cubic_baseline,0,23,318.526,9.56,6.33588659732072
cubic_baseline,0,24,361.197,9.56,5.910852333538284
cubic_baseline,0,25,407.962,9.56,5.444761485459013
cubic_baseline,0,26,458.576,9.56,4.940064181955563
cubic_baseline,0,27,513.534,9.56,4.391822427361776
cubic_baseline,0,28,572.034,9.56,3.8080798442906234
cubic_baseline,0,29,635.644,9.56,3.173153910809077
cubic_baseline,0,30,701.387,9.56,2.5168197091930633
cubic_baseline,0,31,774.257,9.56,1.7891496862005853
cubic_baseline,0,32,847.556,9.56,1.0571438155311572
cubic_baseline,0,33,926.557,9.56,0.26804686731827054
cubic_baseline,0,34,1011.81,9.56,-0.5836227821050226
cubic_baseline,0,35,1097.71,9.56,-1.4417874998434748
cubic_baseline,0,36,1183.52,9.56,-2.2991060630493756
cubic_baseline,0,37,1282.74,9.56,-3.2905717686730593
cubic_baseline,0,38,1385.2,9.56,-4.31448363397951
cubic_baseline,0,39,1487.72,9.56,-5.339004782399288
cubic_baseline,1,0,154.969,9.56,8.01031047821045
cubic_baseline,1,1,120.145,7.71,6.368787667802961
cubic_baseline,1,2,133.078,9.56,8.1219817844217
cubic_baseline,1,3,145.016,9.56,8.022808153004725
